Invoice #,Qty,Item,Description,Warr,Net,Ext Price,Shop Supplies
IN001774,1,SS,"SHOP SUPPLIES",,25.00,25.00,Y
IN001775,1,TMBA,"OEM TIRE MOUNT & BALANCE",,104.50,104.50,N
IN001775,1,SS,"SHOP SUPPLIES",,25.00,25.00,Y
IN001794,,DISE,"DIAGNOSTICS SERVICE - FRONT END GOOD FRONT TIRES @ 60PSI TOO LOW NEED AIR FILTER",,112.00,112.00,N
IN001794,,ENSE,"ENGINE SERVICE",,33.60,33.60,N
IN001794,1,CA12666,"CAR FILTER",,35.99,35.99,N
IN001794,,EAFI,"AIR FILTER REPLACEMENT",,67.20,67.20,N
IN001794,1,PCF12150,"CABIN AIR FILTER",,17.59,17.59,N
IN001794,2,22570195201,"RW201",,249.90,499.80,N
IN001794,2,TMBA,"OEM TIRE MOUNT & BALANCE",,56.00,56.00,N
IN001794,2,REC,"RECYCLING CHARGE",,5.00,10.00,N
IN001794,1,SS,"SHOP SUPPLIES",,21.84,21.84,Y
IN001810,,DISE,"DIAGNOSTICS SERVICE - CHECK BACK UP SENSOR WIRING TIRE CONDITION MEASURE BRAKE THICKNESS",,140.00,140.00,N
IN001810,,BRSE,"REAR BRAKES SERVICE",Declined,Declined,,N
IN001810,1,SS,"SHOP SUPPLIES",,15.00,15.00,Y
IN001777,,DISE,"DIAGNOSTICS SERVICE - CHECK OIL LEAKING",,126.00,126.00,N
IN001777,,ENSE,"ENGINE SERVICE",Declined,Declined,,N
IN001777,1,11427542267,"OIL COOLER THERMOSTAT",Declined,Declined,,N
IN001777,1,F,"FREIGHT",Declined,Declined,,N
IN001777,1,SS,"SHOP SUPPLIES",,15.00,15.00,Y
IN001789,,EXTR,"EXTERIOR REPAIR - INSTALL PROVIDED SKID PLATE",,88.20,88.20,N
IN001789,,VSSE,"VISION & SAFETY SERVICE - TEST FIT PROVIDED LIGHTS AND WIRING",,37.80,37.80,N
IN001789,1,SS,"SHOP SUPPLIES",,21.00,21.00,Y
IN001795,1,MOIL,"OIL CHANGE LABOUR",,36.00,36.00,N
IN001795,1,02011-3A,"5W30 5L",,53.99,53.99,N
IN001795,1,PRS9688,"OIL FILTER",,10.34,10.34,N
IN001795,1,REC,"RECYCLING CHARGE",,5.00,5.00,N
IN001795,1,SS,"SHOP SUPPLIES",,15.00,15.00,Y
IN001835,1,10105,"AB2009X ENGINE GASKET SET",,381.65,381.65,N
IN001835,1,KB-070-EJWT,"KILLERB ULTIMATE OIL PICKUP BAFFLE COMBO",,216.00,216.00,N
IN001835,2,6204051,"HOSE CLAMP",,0.60,1.20,N
IN001835,1,294-170,"THERMOSTAT",,10.08,10.08,N
IN001835,1,63641,"RADIATOR HOSE",,5.97,5.97,N
IN001835,2,14445AA090,"TURBO BANJO BOLT",,18.40,36.80,N
IN001835,4,SILFR6A,"SPARK PLUG",,12.23,48.92,N
IN001835,1,13199AA000,"CAM BOLT",,13.11,13.11,N
IN001835,1,21311AA120,"OIL COOLER",,173.72,173.72,N
IN001835,1,0782402,"PILOT BUSHING",,7.63,7.63,N
IN001835,4,M1-108,"OIL FILTER",,14.75,59.00,N
IN001835,15,108080,"MOTUL BREAK IN OIL 10W40",,14.96,224.40,N
IN001835,1,80204,"WATER WET",,17.49,17.49,N
IN001835,1,M1-108,"OIL FILTER",,16.34,16.34,N
IN001835,1,PCA10544,"AIR FILTER",,9.01,9.01,N
IN001835,2,109471,"MOTUL X-CLEAN 5W30",,43.73,87.46,N
